Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Inference Time (s)
YOLOv11n-cls,0.9160,0.0091,0.0950,0.0165,1077.60,4.4651
EfficientNetV2B3,0.2965,0.2082,0.2965,0.2091,886.91,21.9583
ResNet50V2,0.8630,0.8668,0.8630,0.8642,1132.86,20.0893
MobileNetV3Large,0.7540,0.7601,0.7540,0.7507,300.32,6.6179
YOLO-like,0.8890,0.8914,0.8890,0.8897,395.50,2.6618
